Date	company_id	company_name	cusip8	MSCIsec	ticker
06/30/2013	BZSQX0-S-US	Agilent Technologies Inc.	00846U10	Information Technology	A US
06/30/2013	NGW61L-S-US	Alcoa Inc.	1381710	Materials	AA US
06/30/2013	RK3780-S-US	Aaron's Inc.	253530	Consumer Discretionary	AAN US
06/30/2013	HSDCT7-S-US	AAON Inc.	36020	Industrials	AAON US
06/30/2013	KXFJ5F-S-US	Advance Auto Parts Inc.	00751Y10	Consumer Discretionary	AAP US
06/30/2013	R85KLC-S-US	Apple Inc.	3783310	Information Technology	AAPL US
06/30/2013	GNPWR1-S-US	American Assets Trust Inc.	2401310	Financials	AAT US
06/30/2013	Q2R6NH-S-US	Atlas Air Worldwide Holdings Inc.	4916420	Industrials	AAWW US
06/30/2013	T7H04W-S-US	ABAXIS Inc.	256710	Health Care	ABAX US
06/30/2013	V3049L-S-US	AbbVie Inc.	00287Y10	Health Care	ABBV US
06/30/2013	B3FZ0D-S-US	AmerisourceBergen Corp.	3.07E+13	Health Care	ABC US
06/30/2013	D68LVD-S-US	Ameris Bancorp	03076K10	Financials	ABCB US
06/30/2013	QG6Z5C-S-US	The Advisory Board Co.	00762W10	Industrials	ABCO US
06/30/2013	SVZRQK-S-US	Arkansas Best Corp.	4079010	Industrials	ABFS US
06/30/2013	WPL7RZ-S-US	Asbury Automotive Group Inc.	4343610	Consumer Discretionary	ABG US
06/30/2013	L7GJB9-S-US	ABM Industries Inc.	95710	Industrials	ABM US
06/30/2013	DF3N8D-S-US	ABIOMED Inc.	365410	Health Care	ABMD US
06/30/2013	Q1KJQ2-S-US	Abbott Laboratories	282410	Health Care	ABT US
06/30/2013	VLCQ2P-S-US	American Capital Ltd.	02503Y10	Financials	ACAS US
06/30/2013	GC90Z0-S-US	Arctic Cat Inc.	3967010	Consumer Discretionary	ACAT US
06/30/2013	P378JR-S-US	American Campus Communities Inc.	2483510	Financials	ACC US
06/30/2013	QLRSRJ-S-US	Accelrys Inc.	00430U10	Information Technology	ACCL US
06/30/2013	R2KQ06-S-US	ACCO Brands Corp.	00081T10	Industrials	ACCO US
06/30/2013	M9K04P-S-US	ACE Ltd.	H0023R10	Financials	ACE US
06/30/2013	PLZ1VJ-S-US	Aceto Corp.	444610	Industrials	ACET US
06/30/2013	T7BPYV-S-US	Acorn Energy Inc.	484810	Industrials	ACFN US
06/30/2013	BZSW54-S-US	Arch Capital Group Ltd.	G0450A10	Financials	ACGL US
06/30/2013	BHXVXH-S-US	Acadia Healthcare Co. Inc.	00404A10	Health Care	ACHC US
06/30/2013	MTD0MH-S-US	Achillion Pharmaceuticals Inc.	00448Q20	Health Care	ACHN US
06/30/2013	Q4YYS0-S-US	Arch Coal Inc.	3938010	Energy	ACI US
06/30/2013	BGT3MW-S-US	ACI Worldwide Inc.	449810	Information Technology	ACIW US
06/30/2013	FFS69K-S-US	Axcelis Technologies Inc.	5454010	Information Technology	ACLS US
06/30/2013	RWF3B6-S-US	AECOM Technology Corp.	00766T10	Industrials	ACM US
06/30/2013	W24RPK-S-US	Accenture Plc	G1151C10	Information Technology	ACN US
06/30/2013	P1XTCS-S-US	AMCOL International Corp.	02341W10	Materials	ACO US
06/30/2013	M3WKK1-S-US	Acorda Therapeutics Inc.	00484M10	Health Care	ACOR US
06/30/2013	K6M5BT-S-US	Ares Commercial Real Estate Corp.	04013V10	Financials	ACRE US
06/30/2013	JK7YB9-S-US	Actavis Plc	00507K10	Health Care	ACT US
06/30/2013	TF0ST3-S-US	Acacia Research Corp.	388130	Health Care	ACTG US
