date	_STAT_	BIDLO	ASKHI	PRC	VOL	RET	BID	ASK	OPENPRC	RETX	vwretd	vwretx	ewretd	ewretx
20000103	MEAN	24.520471959	25.757270408	24.176913265	323669.23673	-0.013853959	25.499730603	25.952990302	25.515885417	-0.013853959	-0.006809	-0.006816	0.002878	0.002859
20000104	MEAN	24.08552298	25.081951551	23.951721959	328042.93061	-0.022394208	24.96577381	25.405167749	25.153558319	-0.022394208	-0.039656	-0.039683	-0.017466	-0.017487
20000105	MEAN	23.990752571	24.89687502	24.313903061	335704.74286	0.010771751	24.930123391	25.35930794	24.56716805	0.0107297796	-0.000929	-0.001003	0.007816	0.007738
20000106	MEAN	23.99929849	24.948214327	24.432206735	352208.26939	0.0017193633	25.00026824	25.42972103	24.487086777	0.0017067918	-0.007383	-0.007539	0.004499	0.004449
20000107	MEAN	24.335267878	25.304846939	22.798979592	339756.94694	0.0140633837	25.434549356	25.847103004	23.920052083	0.0140633837	0.032494	0.032491	0.017007	0.01699
20000110	MEAN	24.681760204	25.535012776	24.961607143	262493.68163	0.0069795755	25.284321581	25.687633547	25.19699124	0.0069795755	0.018554	0.018534	0.01533	0.015312
20000111	MEAN	24.576913265	25.448086735	24.577678571	276092.37959	-0.009866363	25.145079787	25.558909574	25.225103734	-0.009877576	-0.016909	-0.016931	-0.006076	-0.006086
20000112	MEAN	24.373596939	25.185778082	24.355994898	278048.24082	-0.003454776	24.856837607	25.277777778	25.041927083	-0.003623343	-0.006928	-0.006994	-0.002508	-0.002688
20000113	MEAN	24.499617347	25.367028082	24.64005102	279815.73469	0.0104486776	25.776431718	26.150468062	25.083028243	0.0103498408	0.016246	0.016235	0.013045	0.012974
20000114	MEAN	24.655739796	25.488074	24.965688776	290834.38367	0.0026546694	25.528835837	25.926368026	25.122556626	0.0026546694	0.011085	0.011083	0.009112	0.009098
20000118	MEAN	24.396747469	25.28437502	24.762755102	388550.88163	-0.00302642	25.216872318	25.611319742	24.909143539	-0.003051963	-0.000828	-0.00084	0.012031	0.011994
20000119	MEAN	24.476530612	25.378443878	24.608163265	416093.90204	0.0078312041	25.297548491	25.726427802	24.892634855	0.0078312041	0.004653	0.004619	0.008135	0.008114
20000120	MEAN	24.366071429	25.47927298	24.680357143	374841.40408	-0.001356449	24.893617021	25.302659574	25.14895405	-0.001356449	-0.002828	-0.002837	0.003466	0.003445
20000121	MEAN	24.358418367	25.245854612	24.393750041	397865.97143	0.0012431673	25.205010776	25.618938578	24.949299834	0.0012431673	0.002662	0.00265	0.00827	0.00825
20000124	MEAN	24.092602041	25.291007673	24.198915837	378256.14286	-0.012624469	24.488970588	24.910714286	24.84992284	-0.012668008	-0.025303	-0.025311	-0.00253	-0.002544
20000125	MEAN	23.471747469	24.54247449	23.884757673	400417.28163	-0.010204894	24.197207447	24.641356383	24.287615761	-0.010204894	0.005532	0.005531	0.000873	0.000865
20000126	MEAN	23.585459184	24.509056122	23.470280612	432628.0898	0.0046003918	24.453926282	24.866720085	24.197371883	0.0044505061	-0.004515	-0.004548	0.003853	0.003792
