companyid	company_name	cusip	MSCIsec	sedol
BZSQX0-S-US	Agilent Technologies Inc.	00846U10	Information Technology	252015
NGW61L-S-US	Alcoa Inc.	1381710	Materials	202180
RK3780-S-US	Aaron's Inc.	253530	Consumer Discretionary	200291
HSDCT7-S-US	AAON Inc.	36020	Industrials	226813
KXFJ5F-S-US	Advance Auto Parts Inc.	00751Y10	Consumer Discretionary	282201
R85KLC-S-US	Apple Inc.	3783310	Information Technology	204625
GNPWR1-S-US	American Assets Trust Inc.	2401310	Financials	B3NTLD
Q2R6NH-S-US	Atlas Air Worldwide Holdin	4916420	Industrials	B01Z8P
T7H04W-S-US	ABAXIS Inc.	256710	Health Care	201155
V3049L-S-US	AbbVie Inc.	00287Y10	Health Care	B92SR7
B3FZ0D-S-US	AmerisourceBergen Corp.	3.07E+13	Health Care	279539
D68LVD-S-US	Ameris Bancorp	03076K10	Financials	203884
QG6Z5C-S-US	The Advisory Board Co.	00762W10	Industrials	279465
SVZRQK-S-US	Arkansas Best Corp.	4079010	Industrials	204807
WPL7RZ-S-US	Asbury Automotive Group In	4343610	Consumer Discretionary	285585
L7GJB9-S-US	ABM Industries Inc.	95710	Industrials	202490
DF3N8D-S-US	ABIOMED Inc.	365410	Health Care	200369
Q1KJQ2-S-US	Abbott Laboratories	282410	Health Care	200230
VLCQ2P-S-US	American Capital Ltd.	02503Y10	Financials	210199
GC90Z0-S-US	Arctic Cat Inc.	3967010	Consumer Discretionary	204750
P378JR-S-US	American Campus Communitie	2483510	Financials	B02H87
QLRSRJ-S-US	Accelrys Inc.	00430U10	Information Technology	268752
R2KQ06-S-US	ACCO Brands Corp.	00081T10	Industrials	B0G7SZ
M9K04P-S-US	ACE Ltd.	H0023R10	Financials	B3BQMF
PLZ1VJ-S-US	Aceto Corp.	444610	Industrials	200470
T7BPYV-S-US	Acorn Energy Inc.	484810	Industrials	226285
BZSW54-S-US	Arch Capital Group Ltd.	G0450A10	Financials	274054
BHXVXH-S-US	Acadia Healthcare Co. Inc.	00404A10	Health Care	B65VZ3
MTD0MH-S-US	Achillion Pharmaceuticals	00448Q20	Health Care	B17T9T
Q4YYS0-S-US	Arch Coal Inc.	3938010	Energy	203718
BGT3MW-S-US	ACI Worldwide Inc.	449810	Information Technology	288915
FFS69K-S-US	Axcelis Technologies Inc.	5454010	Information Technology	260748
RWF3B6-S-US	AECOM Technology Corp.	00766T10	Industrials	B1VZ43
W24RPK-S-US	Accenture Plc	G1151C10	Information Technology	B4BNMY
P1XTCS-S-US	AMCOL International Corp.	02341W10	Materials	202533
M3WKK1-S-US	Acorda Therapeutics Inc.	00484M10	Health Care	292584
K6M5BT-S-US	Ares Commercial Real Estat	04013V10	Financials	B77PWP
JK7YB9-S-US	Actavis Plc	00507K10	Health Care	BD1NQJ
TF0ST3-S-US	Acacia Research Corp.	388130	Health Care	216958
WJ3H3S-S-US	The Active Network Inc.	00506D10	Information Technology	B4PTL6
Q68ND6-S-US	Acura Pharmaceuticals Inc.	00509L70	Health Care	240590
WW9HVB-S-US	Accuride Corp.	00439T20	Industrials	B60CN2
B7YWWQ-S-US	Acxiom Corp.	512510	Information Technology	215977
DJH8TL-S-US	Adobe Systems Inc.	00724F10	Information Technology	200815
H2YYLP-S-US	Agree Realty Corp.	849210	Financials	206216
Q684DQ-S-US	Advanced Emissions Solutio	520810	Materials	BBXZ19
KYJG0D-S-US	American DG Energy Inc.	2539810	Utilities	B28T76
P0X865-S-US	Analog Devices Inc.	3265410	Information Technology	203206
DKH0FF-S-US	Archer Daniels Midland Co.	3948310	Consumer Staples	204731
KFG3KQ-S-US	Audience Inc.	05070J10	Information Technology	B7ZCL8
RXHPCQ-S-US	Automatic Data Processing	5301510	Information Technology	206530
D656C6-S-US	Alliance Data Systems Corp	1858110	Information Technology	276203
WSZW73-S-US	Autodesk Inc.	5276910	Information Technology	206515
P47Z0J-S-US	The ADT Corp.	00101J10	Industrials	B7XWRM
